bar,date,cash,holdings_value,total_value,return_pct
0,2026-03-13,10000.00,0.00,10000.00,0.00
1,2026-03-16,10000.00,0.00,10000.00,0.00
2,2026-03-17,10000.00,0.00,10000.00,0.00
3,2026-03-18,10000.00,0.00,10000.00,0.00
4,2026-03-19,10000.00,0.00,10000.00,0.00
5,2026-03-20,7935.06,2059.79,9994.85,-0.05
6,2026-03-23,8509.15,1357.81,9866.95,-1.33
7,2026-03-24,6007.10,3853.39,9860.49,-1.40
8,2026-03-25,3922.71,6032.67,9955.38,-0.45
9,2026-03-26,4228.42,5927.37,10155.79,1.56
10,2026-03-27,4228.42,5939.61,10168.03,1.68
11,2026-03-30,3038.19,7131.82,10170.01,1.70
12,2026-03-31,5456.00,4982.91,10438.91,4.39
13,2026-04-01,3001.09,7447.63,10448.72,4.49
14,2026-04-02,3001.09,7391.77,10392.87,3.93
15,2026-04-03,2875.75,7499.62,10375.37,3.75
16,2026-04-06,2875.75,7575.22,10450.98,4.51
17,2026-04-07,2844.31,7373.39,10217.69,2.18
18,2026-04-08,3425.20,6920.73,10345.93,3.46
19,2026-04-09,2923.75,7312.92,10236.67,2.37
20,2026-04-10,2923.75,7261.89,10185.63,1.86
21,2026-04-13,2923.75,7251.19,10174.94,1.75
22,2026-04-14,2701.01,7481.81,10182.82,1.83
23,2026-04-15,2701.01,7371.03,10072.05,0.72
24,2026-04-16,2930.07,7186.74,10116.81,1.17
25,2026-04-17,5426.16,4695.43,10121.59,1.22
26,2026-04-20,2921.46,7213.97,10135.43,1.35
27,2026-04-21,2777.46,7095.89,9873.35,-1.27
28,2026-04-22,2777.46,7076.37,9853.83,-1.46
29,2026-04-23,2386.67,7464.42,9851.09,-1.49
