turn,timestamp,action,ticker,shares,price,gross_sek,fee_sek,total_sek,realized_pnl_sek,reasoning
6,2026-04-11T05:58:52Z,BUY,EVO.ST,2,1029.8959,2059.79,5.15,2064.94,0.00,"Momentum 5d +9.8%"
7,2026-04-11T05:58:52Z,SELL,EVO.ST,2,970.0703,1940.14,4.85,1935.29,-124.50,"SL @ -5.8% från snitt 1029.90"
7,2026-04-11T05:58:52Z,BUY,AZN.ST,1,1357.8051,1357.81,3.39,1361.20,0.00,"Momentum 5d +6.3%"
8,2026-04-11T05:58:52Z,BUY,SBB-B.ST,415,6.0140,2495.81,6.24,2502.05,0.00,"Momentum 5d +17.9%"
9,2026-04-11T05:58:52Z,BUY,EVO.ST,2,1039.5983,2079.20,5.20,2084.39,0.00,"Momentum 5d +8.8%"
10,2026-04-11T05:58:52Z,SELL,SBB-B.ST,415,6.7873,2816.73,7.04,2809.69,313.88,"TP @ +12.9% från snitt 6.01"
10,2026-04-11T05:58:52Z,BUY,SBB-B.ST,368,6.7873,2497.73,6.24,2503.97,0.00,"Momentum 5d +25.1%"
12,2026-04-11T05:58:52Z,SELL,AZN.ST,1,1278.2747,1278.27,3.20,1275.08,-82.73,"SL @ -5.9% från snitt 1357.81"
12,2026-04-11T05:58:52Z,BUY,ERIC-B.ST,32,76.8487,2459.16,6.15,2465.31,0.00,"Momentum 5d +8.5%"
13,2026-04-11T05:58:52Z,SELL,EVO.ST,2,1107.3098,2214.62,5.54,2209.08,129.89,"TP @ +6.5% från snitt 1039.60"
13,2026-04-11T05:58:52Z,SELL,SBB-B.ST,368,7.3923,2720.37,6.80,2713.57,215.84,"TP @ +8.9% från snitt 6.79"
13,2026-04-11T05:58:52Z,BUY,SBB-B.ST,338,7.3923,2498.60,6.25,2504.84,0.00,"Momentum 5d +22.9%"
14,2026-04-11T05:58:52Z,BUY,NIBE-B.ST,47,52.1018,2448.78,6.12,2454.91,0.00,"Momentum 5d +6.1%"
16,2026-04-11T05:58:52Z,SELL,ERIC-B.ST,32,74.5266,2384.85,5.96,2378.89,-80.27,"SL @ -3.0% från snitt 76.85"
16,2026-04-11T05:58:52Z,BUY,SAS.ST,997,2.5055,2497.98,6.24,2504.23,0.00,"Momentum 5d +7.1%"
18,2026-04-11T05:58:52Z,SELL,SAS.ST,997,2.3647,2357.61,5.89,2351.71,-146.27,"SL @ -5.6% från snitt 2.51"
18,2026-04-11T05:58:52Z,BUY,HM-B.ST,13,182.8627,2377.22,5.94,2383.16,0.00,"Momentum 5d +8.5%"
19,2026-04-11T05:58:52Z,SELL,SBB-B.ST,338,7.8668,2658.98,6.65,2652.33,153.73,"TP @ +6.4% från snitt 7.39"
19,2026-04-11T05:58:52Z,BUY,ABB.ST,4,516.5687,2066.27,5.17,2071.44,0.00,"Momentum 5d +4.8%"
20,2026-04-11T05:58:52Z,SELL,ABB.ST,4,500.4308,2001.72,5.00,1996.72,-69.56,"SL @ -3.1% från snitt 516.57"
20,2026-04-11T05:58:52Z,BUY,SBB-B.ST,306,8.1436,2491.94,6.23,2498.17,0.00,"Momentum 5d +10.0%"
23,2026-04-11T05:58:52Z,SELL,HM-B.ST,13,176.0285,2288.37,5.72,2282.65,-94.57,"SL @ -3.7% från snitt 182.86"
23,2026-04-11T05:58:52Z,BUY,SAS.ST,958,2.6087,2499.13,6.25,2505.38,0.00,"Momentum 5d +10.3%"
25,2026-04-11T05:58:52Z,SELL,SAS.ST,958,2.5297,2423.45,6.06,2417.39,-81.74,"SL @ -3.0% från snitt 2.61"
25,2026-04-11T05:58:52Z,BUY,ABB.ST,4,545.7198,2182.88,5.46,2188.34,0.00,"Momentum 5d +9.1%"
26,2026-04-11T05:58:52Z,SELL,NIBE-B.ST,47,49.6001,2331.20,5.83,2325.38,-123.41,"SL @ -4.8% från snitt 52.10"
26,2026-04-11T05:58:52Z,SELL,SBB-B.ST,306,8.7446,2675.85,6.69,2669.16,177.22,"TP @ +7.4% från snitt 8.14"
26,2026-04-11T05:58:52Z,BUY,SBB-B.ST,285,8.7446,2492.21,6.23,2498.44,0.00,"Momentum 5d +6.7%"
27,2026-04-11T05:58:52Z,BUY,ERIC-B.ST,30,83.2818,2498.45,6.25,2504.70,0.00,"Momentum 5d +8.8%"
28,2026-04-11T05:58:52Z,SELL,SBB-B.ST,285,8.2580,2353.53,5.88,2347.65,-144.56,"SL @ -5.6% från snitt 8.74"
28,2026-04-11T05:58:52Z,BUY,EMBRAC-B.ST,141,17.6272,2485.44,6.21,2491.65,0.00,"Momentum 5d +12.1%"
30,2026-04-11T05:58:52Z,SELL,ABB.ST,4,529.0879,2116.35,5.29,2111.06,-71.82,"SL @ -3.0% från snitt 545.72"
30,2026-04-11T05:58:52Z,BUY,NIBE-B.ST,46,54.2525,2495.61,6.24,2501.85,0.00,"Momentum 5d +4.6%"
